cat,caption,label,caption_small,original_caption,self_written_caption
Dolphin,a photo of dolphin swimming in the water with a man in the background; a photo of dolphins swimming in the ocean with a bird on their back; a photo of dolphin jumping out of the water with its mouth open; a photo of dolphin in a pool with blue water; a photo of dolphins swimming in the ocean with a coral reef in the background; a photo of dolphin in a pool with its mouth open; a photo of dolphin jumping out of the water in a pool; a photo of dolphin swimming in the water with its head above the water; a photo of dolphin swimming in the ocean with its head above the water; a photo of dolphins playing in the water with each other; a photo of dolphin heads in a pool of water with a white border; a photo of dolphin jumping out of the water with its mouth open; a photo of dolphines in a pool playing with each other; a photo of dolphin in a pool with its mouth open; a photo of dolphin jumping in the water with a sign in the background; a photo of dolphin family swimming in the ocean with their baby; a photo of dolphin jumping out of the water; a photo of dolphins swimming in the ocean with a few dolphins; a photo of dolphins swimming in the ocean with a boat in the background; a photo of dolphin swimming in the ocean with another swimming in the background; ,10,"Photo of dolphin in a pool with blue water; a photo of dolphins swimming in the ocean with a coral reef in the background. A photo of dolphin jumping out of the water with its mouth open;  a photo of dolphines in a Pool playing with each other. Overall, this is a photo of Dolphin",a photo of Dolphin,"a photo of Dolphin, a type of animal lives in the water"
Donkey,a photo of donkey standing in a fenced in area with trees; a photo of donkeys standing in a field with trees in the background; a photo of donkey standing in a field with a house in the background; a photo of donkeys standing in a field of grass; a photo of donkeys in a fenced in area with grass; a photo of donkey walking in a field of grass with a stone wall in the background; a photo of donkey standing in a field of hay with a bowl in the background; a photo of donkey standing in a field with trees in the background; a photo of donkey walking on a dirt road in a field; a photo of donkeys are standing behind a fence in a field; a photo of donkeys standing in a field with a blue sky in the background; a photo of donkey standing in a field behind a barbed wire fence; a photo of donkeys in a fenced in area with a horse in the background; a photo of donkey looking over a fence in a field; a photo of donkey standing in the middle of a forest; a photo of donkey standing in a field next to a fence; a photo of donkeys are standing behind a wire fence; a photo of donkeys are standing in the dirt together; a photo of donkey grazing on grass in a field with dirt; a photo of donkey with a white nose and a black nose; ,11,"A photo of donkeys standing in a field with a blue sky in the background; a photo of donkey standing behind a barbed wire fence. A photo of  donkeys in a fenced in area with a horse in the Background. a photo  of donkey with a white nose Overall, this is a photo of Donkey",a photo of Donkey,"a photo of Donkey, a type of livestock"
Duck,a photo of duck in the water with a yellow beak; a photo of duck standing in grass with its beak open; a photo of duck swimming in a lake with blue water; a photo of duck standing on the pavement near a trash can; a photo of duck standing on grass near water and grass; a photo of duck walking on grass in a field with rocks; a photo of duck in water with yellow beak and green head; a photo of duck with green head and yellow beak looking at the camera; a photo of duck standing in grass with white flowers in the background; a photo of duck laying in the grass with its head on its back; a photo of duck in the water with bubbles of water; a photo of duck with green head and yellow beak standing on ground; a photo of duck standing on pavement with head turned to the side; a photo of duck in the water with a red beak; a photo of duck swimming in a lake with blue water; a photo of duck standing in the grass with yellow flowers; a photo of duck sitting on the edge of a pond; a photo of duck standing on a rock with its head turned; a photo of duck standing in dirt area next to fence; a photo of duck with green head and yellow beak in grassy area; ,12,"A photo of duck in the water with a yellow beak. A photo of a duck standing in the grass with its beak open. A picture of duck with its head turned to the side. Overall, this is a photo of Duck",a photo of Duck,"a photo of Duck, a type of animal"
Eagle,a photo of eagle with a white head and black wings; a photo of eagle perched on a tree branch with a clear blue sky in the background; a photo of eagle perched on a tree branch with a blue sky in the background; a photo of eagle soaring in the sky with its wings spread; a photo of eagle soaring in the sky with trees in the background; a photo of eagle standing in a field with green grass; a photo of eagle flying through the air with a fish in its talon; a photo of eagle perched on a tree branch in a zoo; a photo of eagle perched on a tree branch with cloudy sky in background; a photo of eagle with yellow beak standing in grassy area; a photo of eagle with white feathers and black body and yellow beak; a photo of eagle perched on a tree branch in a cloudy sky; a photo of eagle with white and black feathers and a yellow beak; a photo of eagle with yellow beak standing in grass field; a photo of eagle with a black background and a yellow beak; a photo of eagle sitting on a rock in a zoo enclosure; a photo of eagle flying over water with wings spread; a photo of eagle with open wings in front of dark background; a photo of eagle flying in the sky with its wings spread; a photo of eagle sitting on a branch in a zoo; ,13,"A photo of eagle with a white head and black wings; a photo of Eagle perched on a tree branch with a clear blue sky in the background. A photo  of eagle flying through the air with a fish in its talon; a picture of eagle sitting on a rock in a Overall, this is a photo of Eagle",a photo of Eagle,"a photo of Eagle, a type of flying animal"
Elephant,a photo of elephant walking through a grassy field with trees in the background; a photo of elephant standing in front of a fence with trees in the background; a photo of elephant walking down the road with its trunk extended; a photo of elephant with tusks standing in a field with trees; a photo of elephant family standing in a field with flowers; a photo of elephant standing on a hill with another elephant behind it; a photo of elephant with a child on its back walking in the dirt; a photo of elephant standing in front of a rock wall; a photo of elephant family walking in a field with mountains in the background; a photo of elephant standing in dirt area next to trees; a photo of elephant walking in a zoo enclosure with another elephant; a photo of elephant standing in a field with trees and grass; a photo of elephant standing in the middle of a field; a photo of elephant standing in a field with trees in the background; a photo of elephant standing in the grass with its trunk raised; a photo of elephant with tusks standing in dirt area with trees in background; a photo of elephant standing on cement steps in front of a fence; a photo of elephant walking in dirt area next to building; a photo of elephant walking in the grass with another elephant in the background; a photo of elephant family walking in a zoo enclosure; ,14,"Photo of elephant family walking in a field with mountains in the background. Photo of elephant with tusks standing in dirt area with trees in background. A photo of elephant standing in the middle of a field. Overall, this is a photo of Elephant",a photo of Elephant,"a photo of Elephant, a type of giant animal"
Elk,a photo of elk crossing a dirt road in the woods; a photo of elk walking through the snow in a forest; a photo of elk in a field with trees in the background; a photo of elk laying in tall grass next to a river; a photo of elk with antlers standing in a forest; a photo of elk laying down in the grass with antlers on its head; a photo of elk laying down in a field with large horns; a photo of elk laying in the grass in a fenced in area; a photo of elk standing in a grassy field in a forest; a photo of elk with antlers on its back standing in a field; a photo of elk standing in a field with trees in the background; a photo of elk grazing in a wooded area with trees; a photo of elk with antlers walking through a grassy field; a photo of elks in a field with a mountain in the background; a photo of elk with antlers standing in a grassy field; a photo of elk with large antlers standing in a field; a photo of elk grazing in a field of grass and flowers; a photo of elk laying down in the grass with antlers on; a photo of elk with large antlers standing in a field; a photo of elk laying down in the woods with antlers on; ,15,"Photo of elk with antlers on its head; a photo of elks in a field with a mountain in the background. A photo of  elk laying down in the grass in a fenced in area;  a photo of elk standing in a grassy Overall, this is a photo of Elk",a photo of Elk,"a photo of Elk, a type of animal with long antlers"
Fish,a photo of fish in a bowl with sauce and a fork; a photo of fish in a tank with green plants and water; a photo of fish are laid out on the ground and ready to be cooked; a photo of fish with a yellow and white stripe swimming in a tank; a photo of fish swimming in a large aquarium with a lot of water; a photo of fish swimming in a tank with a lot of water; a photo of fish swimming in a tank with gravel and rocks; a photo of fish swimming in an aquarium with a lot of coral; a photo of fish in a plastic bag with water droplets; a photo of fish in an aquarium with gravel and rocks; a photo of fish are sitting in a plastic bag; a photo of fish in an aquarium with rocks and coral; a photo of fish in an aquarium with coral and rocks; a photo of fish swimming in a tank with plants and rocks; a photo of fish in a bowl with a lot of fish inside of it; a photo of fish with blue and yellow markings swimming in the ocean; a photo of fish swimming in a tank with moss and rocks; a photo of fish swimming in a pond with a lot of water; a photo of fish with a blue face and white belly swimming in an aquarium; a photo of fish with a very large mouth in a tank; ,16,"A photo of fish with a yellow and white stripe swimming in a tank. A picture of fish in a bowl with sauce and a fork. A photo of a fish with blue and yellow markings swimming in the ocean. Overall, this is a photo of Fish",a photo of Fish,"a photo of Fish, a type of animal lives in the water"
Flamingo,a photo of flamingo with a black beak and a white head; a photo of flamingo's in a zoo enclosure with people watching; a photo of flamingo standing on a rock with its head on its back; a photo of flamingo standing in the dark with its head turned; a photo of flamingo standing in the grass with its head turned; a photo of flamingo standing in the water with their necks crossed; a photo of flamingo standing in the grass next to a body of water; a photo of flamingo standing in the water with their heads down; a photo of flamingo standing in a field with other flamingos in the background; a photo of flamingo birds standing in a group in a zoo; a photo of flamingo with its head down and its wings spread; a photo of flamingo with orange feathers and a white head; a photo of flamingo standing in a zoo with other flamingos; a photo of flamingo standing in a pond with its head in the water; a photo of flamingo flocking in a field next to a body of water; a photo of flamingo's standing in the water with their necks in the air; a photo of flamingo standing in the water with its head turned; a photo of flamingo's drinking in a pond of water; a photo of flamingo standing in a pond of water with its head down; a photo of flamingo standing in water with other flamingos in the background; ,17,"A photo of a flamingo with a black beak and a white head. A photo of flamingo standing in a field with other flamingos in the background. A flamingo's head on a rock with its head on its back. Overall, this is a photo of Flamingo",a photo of Flamingo,"a photo of Flamingo, a type of animal usually covered with red feathers "
Fox,a photo of fox in the grass looking at the camera; a photo of fox on a mossy hill with a building in the background; a photo of fox running through a field of grass with a dead animal; a photo of fox cub laying on gravel road in grassy area; a photo of fox cub sitting in the grass looking at the camera; a photo of fox standing on a sidewalk looking up at the camera; a photo of fox standing on a dirt road in a grassy area; a photo of fox sitting in the snow looking at the camera; a photo of fox cubs playing in the grass with a baby fox; a photo of fox walking in a field of grass with a dead animal; a photo of fox running in a field of grass with a bird in the background; a photo of fox laying in the grass in the woods; a photo of fox in the grass with its mouth open; a photo of fox standing in a field of grass with yellow flowers; a photo of fox standing on a fallen tree branch in a forest; a photo of foxs in a field of grass looking for food; a photo of fox in the grass looking at the camera; a photo of fox laying in the grass in front of a bush; a photo of fox running in the grass with a blurry background; a photo of fox standing on a patch of grass in the woods; ,18,"Photos of fox cubs playing in the grass with a baby fox. A photo of fox standing on a sidewalk looking up at the camera. A picture of fox in a field of grass with yellow flowers. Overall, this is a photo of Fox",a photo of Fox,"a photo of Fox, a type of animal"
Giraffe,a photo of giraffe with a very long neck and a very long tongue; a photo of giraffe walking in a field with trees in the background; a photo of giraffe standing on a dirt road in a field; a photo of giraffe with a very long neck and a very long neck; a photo of giraffe with a very long neck and a very long tongue; a photo of giraffe with a long neck and a very long tongue; a photo of giraffe standing in front of a forest with trees; a photo of giraffes standing next to each other on a sunny day; a photo of giraffe standing next to a tree in a forest; a photo of giraffe standing in front of a crowd of people; a photo of giraffe standing in a field with trees and bushes; a photo of giraffes are standing in a grassy field; a photo of giraffe walking in a grassy area with trees in the background; a photo of giraffe standing in the middle of a field with trees; a photo of giraffe walking through a field of tall grass; a photo of giraffe standing in a field with trees in the background; a photo of giraffe standing in a field with other animals in the background; a photo of giraffe standing in front of a forest filled with trees; a photo of giraffe sticking its tongue out in front of a tree; a photo of giraffes in a field of tall grass with trees in the background; ,19,"A photo of a giraffe with a long neck and a very long tongue. A photo of giraffes standing next to each other on a sunny day. A photos of giraffe standing in front of a crowd of people. Overall, this is a photo of Giraffe",a photo of Giraffe,"a photo of Giraffe, a type of animal with long tails"
Goose,a photo of goose with orange beak and orange beak on green background; a photo of goose swimming in a lake with a black beak; a photo of goose walking on grass near a body of water; a photo of goose swimming in a lake with ripples on the water; a photo of goose standing on grass in a field with a bird in the background; a photo of goose with orange beak and orange beak in water; a photo of goose standing on pavement with head turned to the side; a photo of goose swimming in a pond with its head above the water; a photo of goose standing on grass next to water and rocks; a photo of goose with orange beak floating in a body of water; a photo of goose in water with blue sky in background; a photo of goose standing on the ground near a body of water; a photo of goose swimming in a lake with ripples on the water; a photo of goose standing on grass in a park area; a photo of goose walking in grass near a body of water; a photo of goose in shallow water with orange beak and orange beak; a photo of goose standing next to another goose in a field; a photo of goose sitting on grass in a field with a black head; a photo of goose standing in water with reflection on ground; a photo of goose standing in the snow on a field; ,20,"A photo of a goose swimming in a lake with ripples on the water; a photo of goose standing on grass in a field with a bird in the background;  a photo  of goose with orange beak andorange beak in water;    a photo of Overall, this is a photo of Goose",a photo of Goose,"a photo of Goose, a type of animal"
Hippopotamus,a photo of hippopotamus in the water with its mouth open; a photo of hippopotamus resting on the ground in a zoo enclosure; a photo of hippopotamuss in the water with their heads touching each other; a photo of hippopotamus swimming in a river with their babies; a photo of hippopotamus in the water with a man sitting on top of it; a photo of hippopotamus in the water with its head above the water; a photo of hippopotamus in water with head above water; a photo of hippopotamus in the water with its head above the water; a photo of hippopotamus lying on the ground in a zoo enclosure; a photo of hippopotamus in the water with its mouth open; a photo of hippopotamus in the water with their baby; a photo of hippopotamus in water with head resting on ledge; a photo of hippopotamus in a pool of water with a log fence in the background; a photo of hippopotamus resting on the ground in the sun; a photo of hippopotamus in the water with its head above the water; a photo of hippopotamuss in the water with their mouths open; a photo of hippopotamus in the water with its head in the water; a photo of hippopotamus in the water with its head above the water; a photo of hippopotamus laying in the sand at the edge of a river; a photo of hippopotamus swimming in the water with its head above the water; ,21,"A photo of hippopotamus swimming in a river with their babies. A photo of a hippopotamuss in the water with their heads touching each other. a photo of hippopotamus  resting on the ground in a zoo enclosure. Overall, this is a photo of Hippopotamus",a photo of Hippopotamus,"a photo of Hippopotamus, a type of animal lives near water"
Horse,a photo of horse standing in a field behind a barbed wire fence; a photo of horse with white hair standing in a field; a photo of horse with a bridle and a bit on its head; a photo of horse with a bridle walking in a field; a photo of horse with bridle and bridle on head looking over fence; a photo of horse rider on a grassy field with rocks in the background; a photo of horse standing in a field with other horses in the background; a photo of horse running in a field with trees in the background; a photo of horse with long mane grazing in a field; a photo of horse harnessed horses with harnesses on their heads; a photo of horse grazing in a field with a fence; a photo of horse wearing a blanket in a field; a photo of horse rider in white riding on brown horse; a photo of horse standing in a fenced in area with trees; a photo of horse standing in a stall with a door open; a photo of horse with a bridle on head and a blue sky in the background; a photo of horse looking over a fence in a field; a photo of horse running in a field with trees in the background; a photo of horse looking over a fence in a field; a photo of horse wearing a blanket standing next to another horse; ,22,"Photo of horse standing in a field behind a barbed wire fence. A photo of horse with a bridle and a bit on its head; a photo of Horse Rider in white riding on brown horse. A photos of horse in a stall with a door open. Overall, this is a photo of Horse",a photo of Horse,"a photo of Horse, a type of animal"
Kangaroo,a photo of kangaroo with eyes closed standing in grass field; a photo of kangaroo standing on its hind legs in a grassy field; a photo of kangaroos in a grassy field with one eating; a photo of kangaroo standing on its hind legs in a grassy area; a photo of kangaroo sitting on the ground in the dirt; a photo of kangaroo standing next to a tree in a grassy area; a photo of kangaroo standing on its hind legs in a grassy field; a photo of kangaroo laying down in dirt with grass and rocks in background; a photo of kangaroo standing on grass with a small bird in its mouth; a photo of kangaroo laying on the ground in the grass; a photo of kangaroo standing on its hind legs in a grassy area; a photo of kangaroo with a very large nose and a very big nose; a photo of kangaroo standing in grass next to a tree; a photo of kangaroos in the wild with one of them nursing; a photo of kangaroo standing in a field of grass with trees in the background; a photo of kangaroo standing on grass with a camera in its mouth; a photo of kangaroos in a grassy area with a fence in the background; a photo of kangaroo standing on grass looking at the camera; a photo of kangaroo laying down in the dirt with a log in the background; a photo of kangaroo in the wild with a tree in the background; ,23,"A photo of kangaroos in a grassy field with one eating. A photo of a kangaroo with eyes closed standing in grass field. a photo of  kangrooos in the wild with one of them nursing. Overall, this is a photo of Kangaroo",a photo of Kangaroo,"a photo of Kangaroo, a type of animal"
Koala,a photo of koala bear sitting in a tree with its mouth open; a photo of koala sitting on a tree branch in a forest; a photo of koala bear sitting on a tree branch with its head on a branch; a photo of koala bear sitting on a branch in a tree; a photo of koala bear sitting on a tree branch with its mouth open; a photo of koala in a tree in a building; a photo of koalas sleeping in a tree in a zoo; a photo of koala bear with a heart in its mouth; a photo of koala bear sitting on a tree branch in a tree; a photo of koalas are sitting on a tree branch in a zoo; a photo of koala bear in a glass bowl on a pink surface; a photo of koala bear sleeping on a tree branch; a photo of koala bear sitting on a branch of a tree; a photo of koala the dog is a stuffed animal with polka dots; a photo of koala bear sleeping on a branch of a tree; a photo of koala bear climbing up a tree in a zoo; a photo of koala bear sitting in a tree with its head on a branch; a photo of koalas are sitting on a branch together; a photo of koala sleeping in a tree with its eyes closed; a photo of koala bear sitting in a tree with leaves; ,24,"A photo of koala bear in a glass bowl on a pink surface. A photo of a koala sleeping in a tree with its eyes closed. koala the dog is a stuffed animal with polka dots. Overall, this is a photo of Koala",a photo of Koala,"a photo of Koala, a type of animal lives on trees"
Leopard,a photo of leopard standing in the grass looking at the camera; a photo of leopard resting on a rock in a tree; a photo of leopard looking over a fence with trees in the background; a photo of leopard walking on a rock in the shade; a photo of leopards walking in the grass near trees; a photo of leopard with open mouth and mouth wide open in the wild; a photo of leopard with open mouth in front of bushes; a photo of leopard laying down with its mouth open and mouth wide open; a photo of leopard sitting on a rock in a cage; a photo of leopard resting on a tree branch in the wild; a photo of leopard resting on a rock in a zoo enclosure; a photo of leopard laying in the grass in the wild; a photo of leopard in front of a stone wall with a brick wall behind it; a photo of leopard resting on a tree branch in the shade; a photo of leopard resting on a tree branch looking at the camera; a photo of leopards are sitting in the mud near a tree; a photo of leopard sitting on a log in a zoo enclosure; a photo of leopard sitting in front of a fence with trees in the background; a photo of leopard walking on a path in a forest; a photo of leopard resting in a tree looking at the camera; ,25,"Photos of leopards in the wild include a photo of a leopard looking over a fence with trees in the background. A photo of leopard in front of a stone wall with a brick wall behind it; a photo of leopard resting on a tree branch in the shade Overall, this is a photo of Leopard",a photo of Leopard,"a photo of Leopard, a type of animal with black dots on the body"
